Block Height,Tx Hash,Event Attributes (JSON)
17598211,4F531C70350410ED8E4B072204CC7FA11ECD1D82E88E4CB73340055D6BBE1107,"{""_contract_address"": ""terra1phr9fngjv7a8an4dhmhd0u0f98wazxfnzccqtyheq4zqrrp4fpuqw3apw9"", ""action"": ""transfer_nft"", ""sender"": ""terra1hr8zsfpch47qygc96c8e6rzkd2t7mafqx77ulw"", ""recipient"": ""terra1xvmwdwc50ukr66gk70yuh0f70rkl2yg5wwc4fh"", ""token_id"": ""3408"", ""msg_index"": ""4""}"
17598211,4F531C70350410ED8E4B072204CC7FA11ECD1D82E88E4CB73340055D6BBE1107,"{""_contract_address"": ""terra1phr9fngjv7a8an4dhmhd0u0f98wazxfnzccqtyheq4zqrrp4fpuqw3apw9"", ""action"": ""transfer_nft"", ""sender"": ""terra1hr8zsfpch47qygc96c8e6rzkd2t7mafqx77ulw"", ""recipient"": ""terra1xvmwdwc50ukr66gk70yuh0f70rkl2yg5wwc4fh"", ""token_id"": ""7574"", ""msg_index"": ""5""}"
17598211,4F531C70350410ED8E4B072204CC7FA11ECD1D82E88E4CB73340055D6BBE1107,"{""_contract_address"": ""terra1phr9fngjv7a8an4dhmhd0u0f98wazxfnzccqtyheq4zqrrp4fpuqw3apw9"", ""action"": ""transfer_nft"", ""sender"": ""terra1hr8zsfpch47qygc96c8e6rzkd2t7mafqx77ulw"", ""recipient"": ""terra1xvmwdwc50ukr66gk70yuh0f70rkl2yg5wwc4fh"", ""token_id"": ""4391"", ""msg_index"": ""6""}"
17598211,4F531C70350410ED8E4B072204CC7FA11ECD1D82E88E4CB73340055D6BBE1107,"{""_contract_address"": ""terra1phr9fngjv7a8an4dhmhd0u0f98wazxfnzccqtyheq4zqrrp4fpuqw3apw9"", ""action"": ""transfer_nft"", ""sender"": ""terra1hr8zsfpch47qygc96c8e6rzkd2t7mafqx77ulw"", ""recipient"": ""terra1xvmwdwc50ukr66gk70yuh0f70rkl2yg5wwc4fh"", ""token_id"": ""812"", ""msg_index"": ""7""}"
17598211,4F531C70350410ED8E4B072204CC7FA11ECD1D82E88E4CB73340055D6BBE1107,"{""_contract_address"": ""terra1phr9fngjv7a8an4dhmhd0u0f98wazxfnzccqtyheq4zqrrp4fpuqw3apw9"", ""action"": ""transfer_nft"", ""sender"": ""terra1hr8zsfpch47qygc96c8e6rzkd2t7mafqx77ulw"", ""recipient"": ""terra1xvmwdwc50ukr66gk70yuh0f70rkl2yg5wwc4fh"", ""token_id"": ""443"", ""msg_index"": ""8""}"
17594593,6CF1AD5468FFD0A490206EB1FC9CF1D10AF1610CEABD26415E876147B88BA77C,"{""_contract_address"": ""terra1phr9fngjv7a8an4dhmhd0u0f98wazxfnzccqtyheq4zqrrp4fpuqw3apw9"", ""action"": ""update_rewards"", ""msg_index"": ""0""}"
17594593,6CF1AD5468FFD0A490206EB1FC9CF1D10AF1610CEABD26415E876147B88BA77C,"{""_contract_address"": ""terra1phr9fngjv7a8an4dhmhd0u0f98wazxfnzccqtyheq4zqrrp4fpuqw3apw9"", ""action"": ""stake_reward_callback"", ""tokens_to_stake"": ""1744380272"", ""msg_index"": ""0""}"
17594593,6CF1AD5468FFD0A490206EB1FC9CF1D10AF1610CEABD26415E876147B88BA77C,"{""_contract_address"": ""terra10788fkzah89xrdm27zkj5yvhj9x3494lxawzm5qq3vvxcqz2yzaqyd3enk"", ""action"": ""erishub/bond"", ""msg_index"": ""0""}"
17594593,6CF1AD5468FFD0A490206EB1FC9CF1D10AF1610CEABD26415E876147B88BA77C,"{""_contract_address"": ""terra1ecgazyd0waaj3g7l9cmy5gulhxkps2gmxu9ghducvuypjq68mq2s5lvsct"", ""action"": ""mint"", ""amount"": ""972045748"", ""to"": ""terra1phr9fngjv7a8an4dhmhd0u0f98wazxfnzccqtyheq4zqrrp4fpuqw3apw9"", ""msg_index"": ""0""}"
17594593,6CF1AD5468FFD0A490206EB1FC9CF1D10AF1610CEABD26415E876147B88BA77C,"{""_contract_address"": ""terra10788fkzah89xrdm27zkj5yvhj9x3494lxawzm5qq3vvxcqz2yzaqyd3enk"", ""action"": ""erishub/received"", ""msg_index"": ""0""}"
